"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","CombZ","final_group","experimental_condition","n_components_present","classification_rule_id","n_control","control_reference_mean","control_reference_population_sd","susceptibility_threshold","sd_convention","in_early_window_analysis_set"
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","663","Female",-0.619998081410667,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR420","Female",-0.519520369886668,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR424","Female",-0.243254728313603,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR426","Female",-0.344220559499236,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR428","Female",-1.61179141387004,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR430","Female",-0.25090880466534,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR432","Female",-1.31481454428764,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR433","Female",-0.383156726286367,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR434","Female",-0.227484714090517,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR436","Female",-0.426502131517557,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
