"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","Group","Movement_mean","CombZ"
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR424","Female","SUS",4.26760563380282,-0.243254728313603
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR425","Female","RES",3.61971830985915,0.16902908407461
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR426","Female","SUS",3.70422535211268,-0.344220559499236
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR428","Female","SUS",7.30985915492958,-1.61179141387004
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR429","Female","RES",4.84722222222222,0.0207054696568086
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR430","Female","SUS",4.33802816901408,-0.25090880466534
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR432","Female","SUS",5.73611111111111,-1.31481454428764
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR433","Female","SUS",4.34722222222222,-0.383156726286367
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR434","Female","SUS",6.08450704225352,-0.227484714090517
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR436","Female","SUS",3.47142857142857,-0.426502131517557
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR437","Female","RES",5.15277777777778,0.226528359990831
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR529","Female","SUS",3.94366197183099,-0.443460239139308
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR530","Female","RES",5.15714285714286,0.284640044256628
