"old_path","new_path","expected_extension","source_of_truth","disambiguated","old_sha256","new_sha256","same_hash","old_bytes","new_bytes","same_size","new_name_chars","renamed"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_integrated_in__6ff76cd4","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_integrate__6ff76cd4.csv",".csv","results/tables/04_differential_expression_enrichment/biological_program_summary/microglia/program_summary_integrated_interpretation.csv",FALSE,"d419dcd0a93971576f1d33b522819d0c5e6a891e9d0c0a80a17483169ed5ee8d","d419dcd0a93971576f1d33b522819d0c5e6a891e9d0c0a80a17483169ed5ee8d",TRUE,151903,151903,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_integrated_in__9e815bc3","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_integrate__9e815bc3.csv",".csv","results/tables/04_differential_expression_enrichment/biological_program_summary/neuron_soma/program_summary_integrated_interpretation.csv",FALSE,"2098073d4938df12b588adf9a4b5201dbe612823deb08d3ac5f85476a54833e8","2098073d4938df12b588adf9a4b5201dbe612823deb08d3ac5f85476a54833e8",TRUE,113679,113679,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_microglia_sig__14c5db0a","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_microglia__14c5db0a.csv",".csv","results/tables/04_differential_expression_enrichment/biological_program_summary/neuron_soma/program_summary_microglia_signature_annotated.csv",FALSE,"69106d16dece625c0e644081ddc88a23fa4af119b28154257fd97aeeb7412e5c","69106d16dece625c0e644081ddc88a23fa4af119b28154257fd97aeeb7412e5c",TRUE,98706,98706,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_microglia_sig__e6100c9b","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_program_summary_microglia__e6100c9b.csv",".csv","results/tables/04_differential_expression_enrichment/biological_program_summary/microglia/program_summary_microglia_signature_annotated.csv",FALSE,"1e18cfebd63e33df590390f5265eaebb5f036f9ff7963ce75bb7201efd101e6d","1e18cfebd63e33df590390f5265eaebb5f036f9ff7963ce75bb7201efd101e6d",TRUE,119731,119731,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_empirical_microglia_enriched_sign","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_empirical_microglia_enriched_.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/empirical_microglia_enriched_signature.csv",FALSE,"e098a11ca20c6cb30ce1cc9d76f798f9b196b22a453590244e8211e96c72c985","e098a11ca20c6cb30ce1cc9d76f798f9b196b22a453590244e8211e96c72c985",TRUE,62572,62572,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_empirical_microglia_signature_dia","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_empirical_microglia_signature.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/empirical_microglia_signature_diagnostics.csv",FALSE,"faaf58dfa6023e9963263460041d0c4113c98b90805f2ea3a26c5f2a04e9c9a2","faaf58dfa6023e9963263460041d0c4113c98b90805f2ea3a26c5f2a04e9c9a2",TRUE,135,135,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_empirical_neuropil_shared_signatu","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_empirical_neuropil_shared_sig.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/empirical_neuropil_shared_signature.csv",FALSE,"0a305b017c3a50101da47d2e106b181fed18fe7fa2487725ad855d9b79f21763","0a305b017c3a50101da47d2e106b181fed18fe7fa2487725ad855d9b79f21763",TRUE,77278,77278,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_claims_ready","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_claims_re.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_claims_ready.csv",FALSE,"fe1e5015ba94c0f20ee3a1634f107a58293e87a7e00e7e1ccd8287ae72aab274","fe1e5015ba94c0f20ee3a1634f107a58293e87a7e00e7e1ccd8287ae72aab274",TRUE,23789,23789,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_cro__298c121f","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature__298c121f.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_cross_region_cross_condition.csv",FALSE,"9be441ee05a15e2f0c3f21c4d90e879225158a3666f906cc55f98310025d4349","9be441ee05a15e2f0c3f21c4d90e879225158a3666f906cc55f98310025d4349",TRUE,480411,480411,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_cro__a909de9b","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature__a909de9b.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_cross_region_same_condition.csv",FALSE,"0142a07b55f3faae5e175f4faabf37b46576814985319611805a077290fe8004","0142a07b55f3faae5e175f4faabf37b46576814985319611805a077290fe8004",TRUE,241835,241835,TRUE,96,TRUE
