"path","name","area","role","classification","registered_in_pipeline","declared_outputs","writes_publication_source_data","code_callers","test_references","listed_as_legacy","human_invoked_entrypoint","documented_in_docs"
"analysis/integration/test_enrichment_module_concordance.R","test_enrichment_module_concordance.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,10,TRUE,14,1,FALSE,TRUE,TRUE
"analysis/integration/test_module_behaviour_coupling.R","test_module_behaviour_coupling.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,3,TRUE,10,3,FALSE,TRUE,TRUE
"analysis/integration/test_network_behaviour_coupling.R","test_network_behaviour_coupling.R","integration","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,16,3,FALSE,FALSE,TRUE
"analysis/preprocessing/build_animal_level_protigy_input.R","build_animal_level_protigy_input.R","preprocessing","SUPPORT_SCRIPT","ACTIVE_SUPPORT",FALSE,0,FALSE,4,0,TRUE,TRUE,TRUE
"analysis/preprocessing/build_joint_protigy_input.R","build_joint_protigy_input.R","preprocessing","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,4,FALSE,12,1,FALSE,TRUE,TRUE
"analysis/preprocessing/build_module_score_metadata.R","build_module_score_metadata.R","preprocessing","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,4,FALSE,16,1,FALSE,FALSE,TRUE
"analysis/preprocessing/extract_protigy_contrasts.R","extract_protigy_contrasts.R","preprocessing","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,3,FALSE,12,1,FALSE,FALSE,TRUE
"analysis/preprocessing/map_protein_identifiers.R","map_protein_identifiers.R","preprocessing","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,14,2,FALSE,FALSE,TRUE
"analysis/publication_source_data/08_export_manuscript_figures.R","08_export_manuscript_figures.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,6,FALSE,16,3,FALSE,TRUE,TRUE
"analysis/publication_source_data/09_export_source_data.R","09_export_source_data.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,3,FALSE,18,4,FALSE,TRUE,TRUE
"analysis/publication_source_data/build_biological_claims_table.R","build_biological_claims_table.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,4,FALSE,17,2,FALSE,TRUE,TRUE
"analysis/publication_source_data/build_methods_summary.R","build_methods_summary.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,4,FALSE,9,0,FALSE,TRUE,TRUE
"analysis/publication_source_data/build_pride_manifest.R","build_pride_manifest.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,11,2,FALSE,TRUE,TRUE
"analysis/publication_source_data/build_sample_metadata.R","build_sample_metadata.R","publication_source_data","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,9,0,FALSE,TRUE,TRUE
