"old_path","new_path","old_sha256","new_sha256","owner","consumers_updated","migration_class"
"results/publication_source_data/extended_data_08/extended_data_08b_source_data.csv","exports/publication_source_data/extended_data_08/extended_data_08b_source_data.csv","d9275f9be189dcfa5b44dd5b0ed8825d1e6a4f7267c226147f7b0051a3baa495","d9275f9be189dcfa5b44dd5b0ed8825d1e6a4f7267c226147f7b0051a3baa495","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_08/extended_data_08c_source_data.csv","exports/publication_source_data/extended_data_08/extended_data_08c_source_data.csv","c16931f4a2a9a0953b8e9f1bdb0531c128269a43dfb2c40839f433cbb8a4bfa5","c16931f4a2a9a0953b8e9f1bdb0531c128269a43dfb2c40839f433cbb8a4bfa5","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_08/extended_data_08d_source_data.csv","exports/publication_source_data/extended_data_08/extended_data_08d_source_data.csv","21e124e98b168eddc796f3502afd752550a982e7932215d6d63ff40a0fbc127f","21e124e98b168eddc796f3502afd752550a982e7932215d6d63ff40a0fbc127f","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_09/assembled/extended_data_09.svg","exports/publication_source_data/extended_data_09/assembled/extended_data_09.svg","8a7851458110ea0d08f2cd3e236d003e81c9f20c56bc7c8d44b73ff98dfaed34","8a7851458110ea0d08f2cd3e236d003e81c9f20c56bc7c8d44b73ff98dfaed34","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_09/extended_data_09a_source_data.csv","exports/publication_source_data/extended_data_09/extended_data_09a_source_data.csv","36862ee97767834746c36be3edd4170725051754c1ef8f8353679de29ccf146c","36862ee97767834746c36be3edd4170725051754c1ef8f8353679de29ccf146c","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_09/extended_data_09b_source_data.csv","exports/publication_source_data/extended_data_09/extended_data_09b_source_data.csv","de3867978186cfaf8b313bcc3808edf19a43af198bb8726c15d54604965e269b","de3867978186cfaf8b313bcc3808edf19a43af198bb8726c15d54604965e269b","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_09/extended_data_09c_source_data.csv","exports/publication_source_data/extended_data_09/extended_data_09c_source_data.csv","de3867978186cfaf8b313bcc3808edf19a43af198bb8726c15d54604965e269b","de3867978186cfaf8b313bcc3808edf19a43af198bb8726c15d54604965e269b","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_01/assembled/figure_01.svg","exports/publication_source_data/figure_01/assembled/figure_01.svg","cdb066da6b9996046e3a8e7e35a98e6c81f4695472139fbe6d285621eaa88115","cdb066da6b9996046e3a8e7e35a98e6c81f4695472139fbe6d285621eaa88115","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_01/figure_01a_source_data.csv","exports/publication_source_data/figure_01/figure_01a_source_data.csv","1906b79584a80418236dfdd120df5151aefb20fd0a39b5c258c60fd56869ea73","1906b79584a80418236dfdd120df5151aefb20fd0a39b5c258c60fd56869ea73","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_01/figure_01b_source_data.csv","exports/publication_source_data/figure_01/figure_01b_source_data.csv","92fcb8062baa92329e6682addb061f5de41374930455f1f20337979eed15de23","92fcb8062baa92329e6682addb061f5de41374930455f1f20337979eed15de23","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_01/figure_01c_source_data.csv","exports/publication_source_data/figure_01/figure_01c_source_data.csv","b992ad5a2fc61fe54d798f3f51585dab5f6667433cd88a8670c536e5785b0725","b992ad5a2fc61fe54d798f3f51585dab5f6667433cd88a8670c536e5785b0725","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_01/figure_01d_source_data.csv","exports/publication_source_data/figure_01/figure_01d_source_data.csv","df987c921f3ffb2546558fb3bb9722b5c12fb1fb62414d175e92e379478d2644","df987c921f3ffb2546558fb3bb9722b5c12fb1fb62414d175e92e379478d2644","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_02/assembled/figure_02.svg","exports/publication_source_data/figure_02/assembled/figure_02.svg","f176c8a7e6f6b8951c306f321e7faea9cb2daf057d91c941197fbd083d80a32d","f176c8a7e6f6b8951c306f321e7faea9cb2daf057d91c941197fbd083d80a32d","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_02/figure_02a_source_data.csv","exports/publication_source_data/figure_02/figure_02a_source_data.csv","d43386cd472ce8665fb8b37ed72462d63b6ba765f62a60127c11cf57acfebd4d","d43386cd472ce8665fb8b37ed72462d63b6ba765f62a60127c11cf57acfebd4d","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_02/figure_02b_source_data.csv","exports/publication_source_data/figure_02/figure_02b_source_data.csv","a96f684fe0a99d4d3ddb0752dd237cc8fd527b8905a0b3c36c1f974342c5001f","a96f684fe0a99d4d3ddb0752dd237cc8fd527b8905a0b3c36c1f974342c5001f","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_02/figure_02c_source_data.csv","exports/publication_source_data/figure_02/figure_02c_source_data.csv","afed3b106d6059d0b2364d8b94167b929ca54e4caf002154bb6c613ab4538361","afed3b106d6059d0b2364d8b94167b929ca54e4caf002154bb6c613ab4538361","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_02/figure_02d_source_data.csv","exports/publication_source_data/figure_02/figure_02d_source_data.csv","e24882adedc570db5e493d6fd90c451f7f3d792f715e7eeff6a4dcab2e75cee2","e24882adedc570db5e493d6fd90c451f7f3d792f715e7eeff6a4dcab2e75cee2","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/figure_02/figure_02e_source_data.csv","exports/publication_source_data/figure_02/figure_02e_source_data.csv","c84c10c77626b96737076785d5c1c960feb29e8ba1d7a9f6525fbcbe5e1870bd","c84c10c77626b96737076785d5c1c960feb29e8ba1d7a9f6525fbcbe5e1870bd","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
