"old_path","expected_path","current_suffix","expected_extension","producer","evidence","current_hash","bytes","collision","destination_exists","action"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_cro__a909de9b","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_cro__a909de9b.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_cross_region_same_condition.csv","0142a07b55f3faae5e175f4faabf37b46576814985319611805a077290fe8004",241835,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_diagnostics.c","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_diagnostics.c.csv",".c","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_diagnostics.csv; reconstruction from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_diagnostics.csv agrees","46624e2706bcd2849ab90c30bc434dd8dd97245bc6e5b459929cce00be588fc1",1535,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_direction_sum","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_direction_sum.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_direction_summary.csv; reconstruction from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_direction_summary.csv agrees","829c728112c49a37c1abc9aa35ce8f8334d4b112ca40da280fc1c2065607231e",1919,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enr__96e19466","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enr__96e19466.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_with_neuropil_reference.csv","2bb7d91187ffe58674dc69808becb8cbf914a1d1bffca7bbb0b2c31d442a3fd7",759697,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enr__a2bcdccd","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enr__a2bcdccd.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_with_contrast_class.csv","c5a38660d022f8e25e6b06628aed487894ea2a61cf07beddc914350176f7ce2c",880593,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enrichment.cs","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enrichment.cs.csv",".cs","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment.csv; reconstruction from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment.csv agrees","ef2122a072e308b14a3c138b895a05d231934cc493b6396bdb6334e2c95247bc",654817,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enrichment_su","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_enrichment_su.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_summary.csv; reconstruction from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_summary.csv agrees","e51eab6a0cb50544f14dc20df4effa71639905d7b7b1b825c21e135207991f7b",6284,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_interpretatio","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_interpretatio.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_interpretation_summary.csv; reconstruction from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_interpretation_summary.csv agrees","e3345382b7b79a7e3d5c6a67d2117f0474797a3f284848706bed16ae7892c0a8",8810,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_leading_edge_","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_leading_edge_.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_leading_edge_recurrence.csv; reconstruction from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_leading_edge_recurrence.csv agrees","821a76a1c2011e72133459dd45c59a67bc660c7240e902e4189b89983526dc05",3658926,FALSE,FALSE,"rename_in_place"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_regional_pool","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_microglia_microglia_signature_regional_pool.csv","","csv","analysis/publication_source_data/build_supplementary_tables.R","staging manifest source=results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_regional_pooled_summary.csv; reconstruction from results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_regional_pooled_summary.csv agrees","f17b7292f95533421d29d9cb2b51bf73dab9424caa20f9ed9208fa69ac98961a",22007,FALSE,FALSE,"rename_in_place"
