"consumer_file","line_start","artifact_family","dataset_scope","artifact","old_resolved_path","new_resolved_path_today","same_path","runtime_composed_filename","normalized_exists","historical_exists","adjudication"
"analysis/integration/build_cross_compartment_atlas.R",39,"module_complex_architecture","microglia","module_complex_architecture.csv","results/tables/06_modules_WGCNA/module_complex_architecture/microglia/module_complex_architecture.csv","results/tables/06_modules_WGCNA/module_complex_architecture/microglia/module_complex_architecture.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/build_cross_compartment_atlas.R",40,"module_robustness_sensitivity","neuron_neuropil","module_robustness_sensitivity.csv","results/tables/06_modules_WGCNA/module_robustness_sensitivity/neuron_neuropil/module_robustness_sensitivity.csv","results/tables/06_modules_WGCNA/module_robustness_sensitivity/neuron_neuropil/module_robustness_sensitivity.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/build_cross_compartment_atlas.R",40,"module_robustness_sensitivity","neuron_soma","module_robustness_sensitivity.csv","results/tables/06_modules_WGCNA/module_robustness_sensitivity/neuron_soma/module_robustness_sensitivity.csv","results/tables/06_modules_WGCNA/module_robustness_sensitivity/neuron_soma/module_robustness_sensitivity.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/build_cross_compartment_atlas.R",40,"module_robustness_sensitivity","microglia","module_robustness_sensitivity.csv","results/tables/06_modules_WGCNA/module_robustness_sensitivity/microglia/module_robustness_sensitivity.csv","results/tables/06_modules_WGCNA/module_robustness_sensitivity/microglia/module_robustness_sensitivity.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",293,"module_score","neuron_neuropil","supermodule_directional_effects.csv","results/tables/06_modules_WGCNA/module_score/neuron_neuropil/wgcna/supermodule_directional_effects.csv","results/tables/06_modules_WGCNA/module_score/neuron_neuropil/wgcna/supermodule_directional_effects.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",293,"module_score","neuron_soma","supermodule_directional_effects.csv","results/tables/06_modules_WGCNA/module_score/neuron_soma/wgcna/supermodule_directional_effects.csv","results/tables/06_modules_WGCNA/module_score/neuron_soma/wgcna/supermodule_directional_effects.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",293,"module_score","microglia","supermodule_directional_effects.csv","results/tables/06_modules_WGCNA/module_score/microglia/wgcna/supermodule_directional_effects.csv","results/tables/06_modules_WGCNA/module_score/microglia/wgcna/supermodule_directional_effects.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_module_spatial_networks.R",67,"module_score","neuron_neuropil","module_scores_per_sample.csv","results/tables/06_modules_WGCNA/module_score/neuron_neuropil/wgcna/module_scores_per_sample.csv","results/tables/06_modules_WGCNA/module_score/neuron_neuropil/wgcna/module_scores_per_sample.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_module_spatial_networks.R",67,"module_score","neuron_soma","module_scores_per_sample.csv","results/tables/06_modules_WGCNA/module_score/neuron_soma/wgcna/module_scores_per_sample.csv","results/tables/06_modules_WGCNA/module_score/neuron_soma/wgcna/module_scores_per_sample.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_module_spatial_networks.R",67,"module_score","microglia","module_scores_per_sample.csv","results/tables/06_modules_WGCNA/module_score/microglia/wgcna/module_scores_per_sample.csv","results/tables/06_modules_WGCNA/module_score/microglia/wgcna/module_scores_per_sample.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_module_spatial_networks.R",68,"module_score","neuron_neuropil","module_scores_per_sample.xlsx","results/tables/06_modules_WGCNA/module_score/neuron_neuropil/wgcna/module_scores_per_sample.xlsx","results/tables/06_modules_WGCNA/module_score/neuron_neuropil/wgcna/module_scores_per_sample.xlsx",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_module_spatial_networks.R",68,"module_score","neuron_soma","module_scores_per_sample.xlsx","results/tables/06_modules_WGCNA/module_score/neuron_soma/wgcna/module_scores_per_sample.xlsx","results/tables/06_modules_WGCNA/module_score/neuron_soma/wgcna/module_scores_per_sample.xlsx",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/build_module_spatial_networks.R",68,"module_score","microglia","module_scores_per_sample.xlsx","results/tables/06_modules_WGCNA/module_score/microglia/wgcna/module_scores_per_sample.xlsx","results/tables/06_modules_WGCNA/module_score/microglia/wgcna/module_scores_per_sample.xlsx",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",294,"score_publication_summary","neuron_neuropil","publication_supermodule_effect_heatmap_source.csv","results/source_data/06_modules_WGCNA/score_publication_summary/neuron_neuropil/publication_supermodule_effect_heatmap_source.csv","results/source_data/06_modules_WGCNA/score_publication_summary/neuron_neuropil/publication_supermodule_effect_heatmap_source.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",294,"score_publication_summary","neuron_soma","publication_supermodule_effect_heatmap_source.csv","results/source_data/06_modules_WGCNA/score_publication_summary/neuron_soma/publication_supermodule_effect_heatmap_source.csv","results/source_data/06_modules_WGCNA/score_publication_summary/neuron_soma/publication_supermodule_effect_heatmap_source.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",294,"score_publication_summary","microglia","publication_supermodule_effect_heatmap_source.csv","results/source_data/06_modules_WGCNA/score_publication_summary/microglia/publication_supermodule_effect_heatmap_source.csv","results/source_data/06_modules_WGCNA/score_publication_summary/microglia/publication_supermodule_effect_heatmap_source.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",1816,"group_effects","neuron_neuropil","WGCNA_group_effect_animal_spatial_unit_values.csv","results/tables/06_modules_WGCNA/group_effects/neuron_neuropil/WGCNA_group_effect_animal_spatial_unit_values.csv","results/tables/06_modules_WGCNA/group_effects/neuron_neuropil/WGCNA_group_effect_animal_spatial_unit_values.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",1816,"group_effects","neuron_soma","WGCNA_group_effect_animal_spatial_unit_values.csv","results/tables/06_modules_WGCNA/group_effects/neuron_soma/WGCNA_group_effect_animal_spatial_unit_values.csv","results/tables/06_modules_WGCNA/group_effects/neuron_soma/WGCNA_group_effect_animal_spatial_unit_values.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/render_module_circular_atlas.R",1816,"group_effects","microglia","WGCNA_group_effect_animal_spatial_unit_values.csv","results/tables/06_modules_WGCNA/group_effects/microglia/WGCNA_group_effect_animal_spatial_unit_values.csv","results/tables/06_modules_WGCNA/group_effects/microglia/WGCNA_group_effect_animal_spatial_unit_values.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/summarize_enrichment_module_concordance.R",100,"group_effects","neuron_neuropil","WGCNA_group_effect_sensitivity.csv","results/tables/06_modules_WGCNA/group_effects/neuron_neuropil/WGCNA_group_effect_sensitivity.csv","results/tables/06_modules_WGCNA/group_effects/neuron_neuropil/WGCNA_group_effect_sensitivity.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/summarize_enrichment_module_concordance.R",100,"group_effects","neuron_soma","WGCNA_group_effect_sensitivity.csv","results/tables/06_modules_WGCNA/group_effects/neuron_soma/WGCNA_group_effect_sensitivity.csv","results/tables/06_modules_WGCNA/group_effects/neuron_soma/WGCNA_group_effect_sensitivity.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/summarize_enrichment_module_concordance.R",100,"group_effects","microglia","WGCNA_group_effect_sensitivity.csv","results/tables/06_modules_WGCNA/group_effects/microglia/WGCNA_group_effect_sensitivity.csv","results/tables/06_modules_WGCNA/group_effects/microglia/WGCNA_group_effect_sensitivity.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/spatial_validation/build_spatial_data_contract.R",62,"group_effects","neuron_neuropil","WGCNA_group_effect_hemisphere_values.csv","results/tables/06_modules_WGCNA/group_effects/neuron_neuropil/WGCNA_group_effect_hemisphere_values.csv","results/tables/06_modules_WGCNA/group_effects/neuron_neuropil/WGCNA_group_effect_hemisphere_values.csv",TRUE,FALSE,FALSE,TRUE,NA
