"domain","analysis_id","entrypoint","canonical_output","n_declared_outputs","actual_resolved_write_root","expected_write_root","n_layout_api_calls","n_legacy_writes","legacy_write","declared_normalized","migration_status"
"spatial_validation","audit_stress_identity_robustness","analysis/spatial_validation/audit_stress_identity_robustness.R","results/spatial_validation/audit_stress_identity_robustness/global/tables/CA2_SLM_DAP_robustness_annotated.csv | results/spatial_validation/audit_stress_identity_robustness/global/tables/CA2_SLM_spatial_specificity.csv | results/spatial_validation/audit_stress_identity_robustness/global/tables/CA2_SLM_effect_across_neuropil_units.csv",7,"results/spatial_validation/audit_stress_identity_robustness/","results/spatial_validation/audit_stress_identity_robustness/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","build_animal_spatial_networks","analysis/spatial_validation/build_animal_spatial_networks.R","results/spatial_validation/build_animal_spatial_networks/global/tables/network_representation_selection.csv | results/spatial_validation/build_animal_spatial_networks/global/tables/animal_network_edges.csv | results/spatial_validation/build_animal_spatial_networks/global/tables/animal_network_nodes.csv",7,"results/spatial_validation/build_animal_spatial_networks/","results/spatial_validation/build_animal_spatial_networks/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","build_module_spatial_atlas","analysis/spatial_validation/build_module_spatial_atlas.R","results/spatial_validation/build_module_spatial_atlas/global/tables/WGCNA_module_spatial_cell_affinity.csv | results/spatial_validation/build_module_spatial_atlas/global/tables/WGCNA_module_baseline_spatial_profile_long.csv | results/spatial_validation/build_module_spatial_atlas/global/tables/WGCNA_module_spatial_fingerprints_raw.csv",10,"results/spatial_validation/build_module_spatial_atlas/","results/spatial_validation/build_module_spatial_atlas/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","build_protein_spatial_atlas","analysis/spatial_validation/build_protein_spatial_atlas.R","results/spatial_validation/build_protein_spatial_atlas/global/tables/protein_spatial_cell_affinity.csv | results/spatial_validation/build_protein_spatial_atlas/global/tables/protein_baseline_spatial_profile.csv | results/spatial_validation/build_protein_spatial_atlas/global/tables/protein_sus_res_fdr_supported_atlas.csv",3,"results/spatial_validation/build_protein_spatial_atlas/","results/spatial_validation/build_protein_spatial_atlas/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","build_spatial_data_contract","analysis/spatial_validation/build_spatial_data_contract.R","results/spatial_validation/build_spatial_data_contract/global/tables/spatial_systems_hemisphere_inventory.csv | results/spatial_validation/build_spatial_data_contract/global/tables/spatial_systems_aggregation_validation.csv | results/spatial_validation/build_spatial_data_contract/global/tables/spatial_systems_evidence_dependence.csv",3,"results/spatial_validation/build_spatial_data_contract/","results/spatial_validation/build_spatial_data_contract/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","decompose_bilateral_variance","analysis/spatial_validation/decompose_bilateral_variance.R","results/spatial_validation/decompose_bilateral_variance/global/tables/bilateral_variance_decomposition.csv | results/spatial_validation/decompose_bilateral_variance/global/tables/bilateral_precision_gain.csv",2,"results/spatial_validation/decompose_bilateral_variance/","results/spatial_validation/decompose_bilateral_variance/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","quantify_bilateral_spatial_identity","analysis/spatial_validation/quantify_bilateral_spatial_identity.R","results/spatial_validation/quantify_bilateral_spatial_identity/global/tables/bilateral_spatial_identity_protein_level.csv | results/spatial_validation/quantify_bilateral_spatial_identity/global/tables/bilateral_spatial_identity_summary.csv",2,"results/spatial_validation/quantify_bilateral_spatial_identity/","results/spatial_validation/quantify_bilateral_spatial_identity/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","quantify_empirical_compartments","analysis/spatial_validation/quantify_empirical_compartments.R","results/spatial_validation/quantify_empirical_compartments/global/tables/bilateral_empirical_compartment_protein_level.csv | results/spatial_validation/quantify_empirical_compartments/global/tables/bilateral_empirical_compartment_summary.csv | results/spatial_validation/quantify_empirical_compartments/global/tables/bilateral_empirical_marker_transfer.csv",3,"results/spatial_validation/quantify_empirical_compartments/","results/spatial_validation/quantify_empirical_compartments/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","quantify_module_bilateral_identity","analysis/spatial_validation/quantify_module_bilateral_identity.R","results/spatial_validation/quantify_module_bilateral_identity/global/tables/WGCNA_module_bilateral_reproducibility.csv | results/spatial_validation/quantify_module_bilateral_identity/global/tables/WGCNA_module_bilateral_spatial_profile_reproducibility.csv | results/spatial_validation/quantify_module_bilateral_identity/global/tables/WGCNA_module_bilateral_spatial_profile_summary.csv",3,"results/spatial_validation/quantify_module_bilateral_identity/","results/spatial_validation/quantify_module_bilateral_identity/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","quantify_neuropil_detection_context","analysis/spatial_validation/quantify_neuropil_detection_context.R","results/spatial_validation/quantify_neuropil_detection_context/global/tables/neuropil_spatial_detection_context.csv",1,"results/spatial_validation/quantify_neuropil_detection_context/","results/spatial_validation/quantify_neuropil_detection_context/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","quantify_neuropil_precision","analysis/spatial_validation/quantify_neuropil_precision.R","results/spatial_validation/quantify_neuropil_precision/global/tables/neuropil_spatial_precision_context.csv | results/spatial_validation/quantify_neuropil_precision/global/tables/ca2_slm_imputation_artifact_test.csv",2,"results/spatial_validation/quantify_neuropil_precision/","results/spatial_validation/quantify_neuropil_precision/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","summarize_ca2_slm_robustness","analysis/spatial_validation/summarize_ca2_slm_robustness.R","results/spatial_validation/summarize_ca2_slm_robustness/global/reports/CA2_SLM_robustness_audit.xlsx | results/spatial_validation/summarize_ca2_slm_robustness/global/tables/CA2_SLM_robustness_validation.csv | results/spatial_validation/summarize_ca2_slm_robustness/global/plots",3,"results/spatial_validation/summarize_ca2_slm_robustness/","results/spatial_validation/summarize_ca2_slm_robustness/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","summarize_spatial_atlas","analysis/spatial_validation/summarize_spatial_atlas.R","results/spatial_validation/summarize_spatial_atlas/global/reports/spatial_systems_atlas.xlsx | results/spatial_validation/summarize_spatial_atlas/global/tables/spatial_systems_atlas_validation.csv | results/spatial_validation/summarize_spatial_atlas/global/plots",3,"results/spatial_validation/summarize_spatial_atlas/","results/spatial_validation/summarize_spatial_atlas/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","test_network_group_organization","analysis/spatial_validation/test_network_group_organization.R","results/spatial_validation/test_network_group_organization/global/tables/CON_spatial_molecular_similarity_matrix.csv | results/spatial_validation/test_network_group_organization/global/tables/animal_network_global_metrics.csv | results/spatial_validation/test_network_group_organization/global/tables/network_metric_redundancy.csv",12,"results/spatial_validation/test_network_group_organization/","results/spatial_validation/test_network_group_organization/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","validate_network_workbook","analysis/spatial_validation/validate_network_workbook.R","results/spatial_validation/validate_network_workbook/global/reports/spatial_systems_networks.xlsx | results/spatial_validation/validate_network_workbook/global/tables/spatial_network_validation_status.csv | results/spatial_validation/validate_network_workbook/global/tables/legacy_spatial_network_comparison.csv",5,"results/spatial_validation/validate_network_workbook/","results/spatial_validation/validate_network_workbook/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","validate_spatial_foundations","analysis/spatial_validation/validate_spatial_foundations.R","results/spatial_validation/validate_spatial_foundations/global/tables/spatial_systems_foundation_validation.csv",1,"results/spatial_validation/validate_spatial_foundations/","results/spatial_validation/validate_spatial_foundations/",1,0,FALSE,TRUE,"MIGRATED"
"wgcna","adjudicate_module_labels","analysis/wgcna/adjudicate_module_labels.R","results/wgcna/adjudicate_module_labels/global/tables/WGCNA_module_adjudication.csv | results/wgcna/adjudicate_module_labels/global/tables/WGCNA_supermodule_adjudication.csv | results/wgcna/adjudicate_module_labels/global/tables/WGCNA_module_theme_evidence.csv",7,"results/wgcna/adjudicate_module_labels/","results/wgcna/adjudicate_module_labels/",1,0,FALSE,TRUE,"MIGRATED"
